алкоголь alcohol
веселье fun
винегрет vinaigrette
волшебство magic
выходной weekend
гирлянда lights
декабрь December
желание wish
застолье tableful
зима winter
каникулы vacation
конфетти confetti
конфеты candy
куранты chime
мандарин tangerine
мишура tinsel
мороз frost
Оливье Olivier
петарда firecracker
подарок gift
поздравление congratulation
полночь midnight
праздник feast
президент President
салат salad
салют salute
свеча candle
семья family
сладости sweetness
снег snow
снеговик snowman
снежинка snowflake
танцы dancing
телевизор TV
украшение decoration
фейерверк fireworks
хлопушка firecracker
холод cold
шампанское champagne
январь January
